timestamp,actual_rate,cumulative_actual_rate,current_sample_rate,encode_cost_ms,sample_cost_ms,abnormal_count,trace_count,sample_count
1764073541,0.040000,0.087289,0.040658,0.27,5.70,4,16600,83
1764073544,0.045000,0.086786,0.048730,0.27,5.69,5,16800,84
1764073549,0.050000,0.086353,0.052980,0.27,5.65,5,17000,85
1764073553,0.055000,0.085988,0.057775,0.27,5.60,10,17200,86
1764073557,0.065000,0.085747,0.068500,0.28,5.62,3,17400,87
1764073562,0.070000,0.085568,0.074822,0.28,5.64,11,17600,88
1764073568,0.090000,0.085618,0.090132,0.28,5.66,2,17800,89
1764073576,0.125000,0.086056,0.126515,0.28,5.73,7,18000,90
1764073587,0.215000,0.087473,0.218853,0.28,5.92,4,18200,91
1764073596,0.290000,0.089674,0.290529,0.28,6.25,3,18400,92
1764073602,0.315000,0.092097,0.316256,0.28,6.84,5,18600,93
1764073609,0.315000,0.094468,0.315312,0.29,7.18,6,18800,94
1764073616,0.295000,0.096579,0.298822,0.29,7.68,4,19000,95
1764073620,0.270000,0.098385,0.270399,0.29,8.01,4,19200,96
1764073625,0.235000,0.099794,0.237870,0.29,8.40,4,19400,97
1764073630,0.215000,0.100969,0.217375,0.29,8.53,6,19600,98
1764073635,0.170000,0.101667,0.173258,0.29,8.62,2,19800,99
1764073642,0.130000,0.101950,0.130862,0.30,8.72,1,20000,100
1764073649,0.095000,0.101881,0.098486,0.30,8.70,5,20200,101
1764073659,0.050000,0.101373,0.042942,0.30,8.70,10,20400,102
1764073665,0.035000,0.100728,0.022861,0.30,8.64,7,20600,103
1764073673,0.035000,0.100096,0.015861,0.30,8.58,7,20800,104
1764073679,0.025000,0.099381,0.015903,0.31,8.51,5,21000,105
1764073685,0.025000,0.098679,0.025590,0.31,8.44,4,21200,106
1764073689,0.040000,0.098131,0.044034,0.31,8.36,8,21400,107
1764073695,0.070000,0.097870,0.070135,0.31,8.38,7,21600,108
1764073703,0.095000,0.097844,0.098313,0.31,8.39,6,21800,109
1764073706,0.110000,0.097955,0.111571,0.31,8.40,5,22000,110
